author_id,author_name,country,institution,conference,year,source_url,source_note
ICML-2023-A000001,Anders Aamand,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/aamand23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000002,Alexandr Andoni,United States,"Data Science Institute, Columbia",ICML,2023,https://proceedings.mlr.press/v202/aamand23a/aamand23a.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from institution using local Ollama model
ICML-2023-A000003,Justin Y. Chen,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/aamand23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000004,Piotr Indyk,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/aamand23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000005,Shyam Narayanan,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/aamand23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000006,Sandeep Silwal,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/aamand23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000007,Ahmed Abbas,Germany,"MPI for Informatics, Saarland Informatics Campus, Germany",ICML,2023,https://proceedings.mlr.press/v202/abbas23a/abbas23a.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A000008,Paul Swoboda,Germany,"MPI for Informatics, Saarland Informatics Campus, Germany",ICML,2023,https://proceedings.mlr.press/v202/abbas23a/abbas23a.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A000009,Emmanuel Abbe,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/abbe23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000010,Samy Bengio,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/abbe23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000011,Aryo Lotfi,Switzerland | United States,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/abbe23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages; Country inferred from full first-page text using local Ollama model
ICML-2023-A000012,Kevin Rizk,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/abbe23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000013,Amirhesam Abedsoltan,United States,"Department of Computer Science and Engineering, and",ICML,2023,https://proceedings.mlr.press/v202/abedsoltan23a/abedsoltan23a.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from full first-page text using local Ollama model
ICML-2023-A000014,Mikhail Belkin,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/abedsoltan23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000015,Parthe Pandit,United States,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/abedsoltan23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages; Country inferred from full first-page text using local Ollama model
ICML-2023-A000016,Axel Abels,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/abels23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000017,Tom Lenaerts,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/abels23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A000018,Vito Trianni,Italy,"Institute of Cognitive Sciences and Technologies, National Research Council, Rome, Italy.",ICML,2023,https://proceedings.mlr.press/v202/abels23a/abels23a.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A000019,Ann Nowe,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/abels23a.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
